6
3
10
"X12" "X22" "LOG(DENS)"        "LOG(S)"              "LOG(DS)"
0.70 0.02 9.3010299956639813 7.1619666163640741 -4.5673834160962103 
0.70 0.02 9.6020599913279607 7.3818367999983430 -4.9341589656802807 
0.70 0.02 9.7781512503836421 7.5181189471431527 -5.1434040156065794 
0.70 0.06 7.0000000000000000 4.1300275760383851  0.4165076014851285 
0.70 0.06 7.6989700043360179 5.3432115901797470 -2.0076011415123789 
0.70 0.06 7.8450980400142560 5.7315081835960253 -2.3804788495441356 
0.70 0.06 8.0000000000000000 5.9818638909913506 -2.7436912508780660 
0.70 0.06 8.3979400086720357 6.5361795321372256 -3.4494536885343559 
0.70 0.06 8.6989700043360187 6.8288531596766395 -3.8784073305615925 
0.70 0.06 8.9999999999999982 7.0358298252528275 -4.2668428748705276 
0.70 0.06 9.3010299956639813 7.2342641243787895 -4.6442037864970267 
0.70 0.06 9.6020599913279607 7.4466924663715268 -5.0059777572684432 
0.70 0.06 9.7781512503836421 7.5787537844264339 -5.2125111874513692 
0.94 0.06 7.0000000000000000 4.6762272983990760  0.1659417821132740 
0.94 0.06 7.6989700043360196 5.3110487407494951 -1.8509335231324375 
0.94 0.06 7.8450980400142596 5.5240892340680317 -2.0285351017390574 
0.94 0.06 8.0000000000000000 6.3463529744506388 -2.9100948885606015 
0.94 0.06 8.3979400086720357 6.7767011839884113 -3.6289321377282633 
0.94 0.06 8.6989700043360187 7.0115704435972788 -4.0351701728113918 
0.94 0.06 8.9999999999999982 7.2148438480476980 -4.4174366904786417 
0.94 0.06 9.3010299956639813 7.4111144185509046 -4.7966135083395214 
0.94 0.06 9.6020599913279607 7.6194064108867767 -5.1619573051901977 
0.94 0.06 9.7781512503836421 7.7489628612561612 -5.3726341434072662 
0.98 0.02 7.0000000000000000 4.7672605854591898  0.1241808122179660 
0.98 0.02 7.6989700043360196 5.3595598242367863 -1.9933063304943373 
0.98 0.02 7.8450980400142596 5.5659342341654954 -2.1307512914335440 
0.98 0.02 8.0000000000000000 6.3010299956639813 -2.9507819773298181 
0.98 0.02 8.3979400086720357 6.7315887651867383 -3.5800442515102420 
0.98 0.02 8.6989700043360187 6.9692294798626424 -3.9895304302036072 
0.98 0.02 8.9999999999999982 7.1775364999298619 -4.3748007685178312 
0.98 0.02 9.3010299956639813 7.3800302479678308 -4.7606754902122024 
0.98 0.02 9.6020599913279607 7.5943925503754262 -5.1307682802690229 
0.98 0.02 9.7781512503836421 7.7267272090265724 -5.3400837999301487 
1.00 0.00 7.0000000000000000 4.8127772289892485  0.1033003272703097 
1.00 0.00 7.6989700043360196 5.3838153659804311 -2.0644927341752872 
1.00 0.00 7.8450980400142596 5.5868567342142290 -2.1818593862807867 
1.00 0.00 8.0000000000000000 6.2718416065364986 -2.9172146296835497 
1.00 0.00 8.3979400086720357 6.7058637122839189 -3.4400933749638871 
1.00 0.00 8.6989700043360187 6.9445813642269263 -3.9632114668922793 
1.00 0.00 8.9999999999999982 7.1556396337597761 -4.3528714209650277 
1.00 0.00 9.3010299956639813 7.3617278360175931 -4.7364349390391425 
1.00 0.00 9.6020599913279607 7.5800121125294240 -5.1117643267294319 
1.00 0.00 9.7781512503836421 7.7143297597452332 -5.3223930472795065 
